Type,Enum,Active,Description,Value1,Value2,Value3
33,ASSISTED_COMBAT_RULE_TYPE_SOUL_SHARDS_GREATER,Y,若玩家灵魂碎片大于等于 {arg1},Soul Shard amount,UNUSED,UNUSED
34,ASSISTED_COMBAT_RULE_TYPE_SOUL_SHARDS_LESS,Y,若玩家灵魂碎片小于等于 {arg1},Soul Shard amount,UNUSED,UNUSED
35,ASSISTED_COMBAT_RULE_TYPE_LUNAR_POWER_GREATER,Y,若玩家星界能量大于等于 {arg1},Lunar Power amount,UNUSED,UNUSED
36,ASSISTED_COMBAT_RULE_TYPE_LUNAR_POWER_LESS,N,若玩家星界能量小于等于 {arg1},Lunar Power amount,UNUSED,UNUSED
37,ASSISTED_COMBAT_RULE_TYPE_HOLY_POWER_GREATER,Y,若玩家神圣能量大于等于 {arg1},Holy Power amount,UNUSED,UNUSED
38,ASSISTED_COMBAT_RULE_TYPE_HOLY_POWER_LESS,Y,若玩家神圣能量小于等于 {arg1},Holy Power amount,UNUSED,UNUSED
39,ASSISTED_COMBAT_RULE_TYPE_MAELSTROM_GREATER,N,若玩家漩涡值大于等于 {arg1},Maelstrom amount,UNUSED,UNUSED
40,ASSISTED_COMBAT_RULE_TYPE_MAELSTROM_LESS,N,若玩家漩涡值小于等于 {arg1},Maelstrom amount,UNUSED,UNUSED
41,ASSISTED_COMBAT_RULE_TYPE_CHI_GREATER,N,若玩家真气大于等于 {arg1},Chi amount,UNUSED,UNUSED
42,ASSISTED_COMBAT_RULE_TYPE_CHI_LESS,Y,若玩家真气小于等于 {arg1},Chi amount,UNUSED,UNUSED
43,ASSISTED_COMBAT_RULE_TYPE_INSANITY_GREATER,Y,若玩家狂乱值大于等于 {arg1},Insanity amount,UNUSED,UNUSED
44,ASSISTED_COMBAT_RULE_TYPE_INSANITY_LESS,N,若玩家狂乱值小于等于 {arg1},Insanity amount,UNUSED,UNUSED
45,ASSISTED_COMBAT_RULE_TYPE_ESSENCE_GREATER,Y,若玩家精华大于等于 {arg1},Essence amount,UNUSED,UNUSED
46,ASSISTED_COMBAT_RULE_TYPE_ESSENCE_LESS,N,若玩家精华小于等于 {arg1},Essence amount,UNUSED,UNUSED
47,ASSISTED_COMBAT_RULE_TYPE_ARCANE_CHARGES_GREATER,Y,若玩家奥术充能大于等于 {arg1},Arcane charge amount,UNUSED,UNUSED
48,ASSISTED_COMBAT_RULE_TYPE_ARCANE_CHARGES_LESS,Y,若玩家奥术充能小于等于 {arg1},Arcane charge amount,UNUSED,UNUSED
49,ASSISTED_COMBAT_RULE_TYPE_TARGET_COUNT_NEAR_TARGET_LESS,Y,若目标周围 {arg2} 码内的目标数量小于等于 {arg1} 个,Unit Count,Distance,UNUSED
50,ASSISTED_COMBAT_RULE_TYPE_TARGET_COUNT_NEAR_PLAYER_LESS,Y,若玩家周围 {arg2} 码内的目标数量小于等于 {arg1} 个,Unit Count,Distance,UNUSED
51,ASSISTED_COMBAT_RULE_TYPE_AURA_COUNT_NEAR_PLAYER_LESS,Y,若玩家周围 {arg2} 码内带有增益/减益 {arg3} 的目标数量小于等于 {arg1} 个,Units with Buff Count,Distance,Spell:Buff
52,ASSISTED_COMBAT_RULE_TYPE_TARGET_AURA_APPLICATION_GREATER,Y,若目标身上增益/减益 {arg1} 的层数大于等于 {arg2},Spell:Buff,Count,UNUSED
53,ASSISTED_COMBAT_RULE_TYPE_TARGET_AURA_APPLICATION_LESS,Y,若目标身上增益/减益 {arg1} 的层数小于等于 {arg2},Spell:Buff,Count,UNUSED
54,ASSISTED_COMBAT_RULE_TYPE_PLAYER_AURA_APPLICATION_GREATER,Y,若玩家身上增益/减益 {arg1} 的层数大于等于 {arg2},Spell:Buff,Count,UNUSED
55,ASSISTED_COMBAT_RULE_TYPE_PLAYER_AURA_APPLICATION_LESS,Y,若玩家身上增益/减益 {arg1} 的层数小于等于 {arg2},Spell:Buff,Count,UNUSED
56,ASSISTED_COMBAT_RULE_TYPE_SPELL_IN_RANGE,Y,若技能 {spell} 在射程内,UNUSED,UNUSED,UNUSED
57,ASSISTED_COMBAT_RULE_TYPE_HAS_PET,Y,若玩家有宠物,UNUSED,UNUSED,UNUSED
58,ASSISTED_COMBAT_RULE_TYPE_HAS_NO_PET,Y,若玩家没有宠物,UNUSED,UNUSED,UNUSED
59,ASSISTED_COMBAT_RULE_TYPE_FURY_GREATER,N,若玩家恶魔之怒大于等于 {arg1},Fury amount,UNUSED,UNUSED
60,ASSISTED_COMBAT_RULE_TYPE_FURY_LESS,N,若玩家恶魔之怒小于等于 {arg1},Fury amount,UNUSED,UNUSED
61,ASSISTED_COMBAT_RULE_TYPE_PAIN_GREATER,N,若玩家苦痛值大于等于 {arg1},Pain amount,UNUSED,UNUSED
62,ASSISTED_COMBAT_RULE_TYPE_PAIN_LESS,N,若玩家苦痛值小于等于 {arg1},Pain amount,UNUSED,UNUSED
63,ASSISTED_COMBAT_RULE_TYPE_SPELL_CHARGES_GREATER,Y,若技能 {spell} 的充能层数大于等于 {arg1},Charge Count,UNUSED,UNUSED
64,ASSISTED_COMBAT_RULE_TYPE_SPELL_CHARGES_LESS,N,若技能 {spell} 的充能层数小于等于 {arg1},Charge Count,UNUSED,UNUSED
65,ASSISTED_COMBAT_RULE_TYPE_COOLDOWN_REMAINING_GREATER,Y,若技能 {arg1} 的剩余冷却大于等于 {arg2} 毫秒,Spell,CD Duration,UNUSED
66,ASSISTED_COMBAT_RULE_TYPE_COOLDOWN_REMAINING_LESS,Y,若技能 {arg1} 的剩余冷却小于等于 {arg2} 毫秒,Spell,CD Duration,UNUSED
67,ASSISTED_COMBAT_RULE_TYPE_COOLDOWN_ALLOW_CASTING_SUCCESS,Y,若技能 {spell} 可以成功施放,UNUSED,UNUSED,UNUSED
68,ASSISTED_COMBAT_RULE_TYPE_PLAYER_HEALTH_PCT_GREATER,Y,若玩家生命值大于等于 {arg1}%,Player Health %,UNUSED,UNUSED
69,ASSISTED_COMBAT_RULE_TYPE_PLAYER_HEALTH_PCT_LESS,Y,若玩家生命值小于等于 {arg1}%,Player Health %,UNUSED,UNUSED
70,ASSISTED_COMBAT_RULE_TYPE_AUTOMATION_ONLY,Y,仅自动化施放（不属于游戏的辅助战斗循环）,UNUSED,UNUSED,UNUSED
